ApArtId	AP Art	AP Status	AP Start im Jahr	AP Stand Umsetzung	Pop Guid	Pop Nr	Pop Name	Pop Status	Pop bekannt seit	Pop X-Koordinaten	Pop Y-Koordinaten	TPop Guid	TPop Nr	TPop Gemeinde	TPop Flurname	TPop Status	TPop Status unklar	TPop Begründung für unklaren Status	TPop X-Koordinaten	TPop Y-Koordinaten	TPop Radius (m)	TPop Höhe	TPop Exposition	TPop Klima	TPop Hangneigung	TPop Beschreibung	TPop Kataster-Nr	TPop Verantwortlich	TPop für AP-Bericht relevant	TPop bekannt seit	TPop EigentümerIn	TPop Kontakt vor Ort	TPop Nutzungszone	TPop BewirtschafterIn	TPop Bewirtschaftung	TPop Lage repräsentiert Population	Massn Guid	Massn Jahr	Massn Datum	Massn Typ	Massn Massnahme	Massn BearbeiterIn	Massn Bemerkungen	Massn Plan vorhanden	Massn Plan Bezeichnung	Massn Fläche m2	Massn Form der Ansiedlung	Massn Pflanzanordnung	Massn Markierung	Massn Anz Triebe	Massn Pflanzen	Massn Anz Pflanzstellen	Massn Wirtspflanze	Massn Herkunftspopulation	Massn Sammeldatum	Massn MutWann	Massn MutWer	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			C7090216-596A-4D17-85CE-C53AFA18C1D6	4	Eglisau, Stampfi	nur angesät	2003	680575	270450	AD53F77D-630D-4FF6-AB0C-44968655CF62	1	Eglisau	Parzelle 224	nur angesät	0		680575	270450		370				Magerwiese		Andreas Keel	1				Naturschutzgebiet			1	97C58524-5342-45B9-9185-7BB491307B56	2008	2008-08-20 00:00:00	Ansiedlung: Ansaat	Samen in 1Becher (200ml) Sand; Oberboden angehoben, Samen/Sand darunter geschoben, angedrückt	Andreas Keel	mit KS, Orchideenmischung	1								150		1758 von 1 Ex (29.6.08).; R. Gämperle von 11 Ex. (27.7.08); 1760,1677,1759 (5.7.08)	29.6.08; 5.7.08; 27.7.08	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			C7090216-596A-4D17-85CE-C53AFA18C1D6	4	Eglisau, Stampfi	nur angesät	2003	680575	270450	AD53F77D-630D-4FF6-AB0C-44968655CF62	1	Eglisau	Parzelle 224	nur angesät	0		680575	270450		370				Magerwiese		Marlene Rüegg	1				Naturschutzgebiet			1	2bc91668-faff-11e0-bc69-003048cd3590	2011	2011-07-29 00:00:00	Ansiedlung: Ansaat		Marlene Rüegg		1								50		1759. Asp E, Glattfelden		2011-10-20 11:37:48	topos	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			C7090216-596A-4D17-85CE-C53AFA18C1D6	4	Eglisau, Stampfi	nur angesät	2003	680575	270450	61256f5a-faff-11e0-bc69-003048cd3590	2	Eglisau	westl. Parzelle 224	nur angesät			680490	270507								Marlene Rüegg	1	2011							803693a6-faff-11e0-bc69-003048cd3590	2011	2011-07-29 00:00:00	Ansiedlung: Ansaat		Marlene Rüegg		1								50		1759, Asp E, Glattfelden		2011-10-20 11:40:09	topos	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			C7090216-596A-4D17-85CE-C53AFA18C1D6	4	Eglisau, Stampfi	nur angesät	2003	680575	270450	8f628a10-faff-11e0-bc69-003048cd3590	3	Eglisau	nördl. Parzelle 224	nur angesät			680577	270478								Marlene Rüegg	1	2011							155a15ac-fb00-11e0-bc69-003048cd3590	2011	2011-07-29 00:00:00	Ansiedlung: Ansaat		Marlene Rüegg		1								50		1759. Asp E, Glattfelden		2011-10-20 11:44:19	topos	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			0F83DD0D-7A61-4A98-B53D-18CB51ADBF3E	5	Glattfelden, Huser	nur angesät	2003			EA7BD4E2-6C2E-4699-9144-1451605C4782	1	Glattfelden 	Huser, Fl. 7	nur angesät	0		680650	268280								Andreas Keel	1	2005						0	8CD2CD36-16CE-49E8-8B49-7AEEAF4EE625	2005	2005-07-16 00:00:00	Ansiedlung: Ansaat		Andreas Keel		0							200			AG 1 und 3		2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			0F83DD0D-7A61-4A98-B53D-18CB51ADBF3E	5	Glattfelden, Huser	nur angesät	2003			EA7BD4E2-6C2E-4699-9144-1451605C4782	1	Glattfelden 	Huser, Fl. 7	nur angesät	0		680650	268280								Charlotte Salzmann	1	2005						0	FC5D5528-3A97-4977-9312-F47D63EF0C86	2007	2007-09-17 00:00:00	Ansiedlung: Ansaat		Charlotte Salzmann		1										1677, Merish. Asp West		2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			0F83DD0D-7A61-4A98-B53D-18CB51ADBF3E	5	Glattfelden, Huser	nur angesät	2003			EA7BD4E2-6C2E-4699-9144-1451605C4782	1	Glattfelden 	Huser, Fl. 7	nur angesät	0		680650	268280								Kirsten Edelkraut	1	2005						0	4DAB3860-A710-42F3-9788-0761B6505B60	2008	2008-07-29 00:00:00	Ansiedlung: Ansaat	1 TL / 1Becher (200ml); Oberboden angehoben, Samen/Sand darunter geschoben, angedrückt	Kirsten Edelkraut	mit KS, Orchideenmischung	1								8		1760/1759	4.7.+5.7.08	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			0F83DD0D-7A61-4A98-B53D-18CB51ADBF3E	5	Glattfelden, Huser	nur angesät	2003			8940B09C-833B-4A0A-BC0D-6E4475334C9A	2	Glattfelden	Huser	nur angesät	0		680675	268225		415				neugestaltete Magerwiese		Isabelle Flöss	1	2003						0	59B8BA49-928E-4452-A0B2-79732B7E4378	2003	2003-10-15 00:00:00	Ansiedlung: Ansaat		Isabelle Flöss		0								6		Asp West, Merishausen	2003	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			0F83DD0D-7A61-4A98-B53D-18CB51ADBF3E	5	Glattfelden, Huser	nur angesät	2003			C8DFBA2A-2AC4-4284-AF45-8055D4DF396A	3	Glattfelden	Huser	nur angesät	0		680675	268225	50	415				neugestaltete Magerwiese		Isabelle Flöss	1	2004		Hansruedi Schudel				0	51F3E9BD-709B-4CC4-AD42-5AB5195E1C57	2004	2004-12-14 00:00:00	Ansiedlung: Ansaat		Isabelle Flöss		0										Densbüren (Asp) Hinterreben	2004	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			E61A2287-7F3F-449C-9E17-E33FC111EBE0	6	Glattfelden, Nadelbändli	nur angesät	2003	681650	267675	08804BB5-115A-4F11-A46F-9B9E9689F884	1	Glattfelden	Nadelbändli/Retentionsbecken	nur angesät	0		681650	267675		418				Sandfläche		Isabelle Flöss	1	2003						1	055F64D3-7960-4E7B-959F-202095FB11E7	2003	2003-10-15 00:00:00	Ansiedlung: Ansaat		Isabelle Flöss		0								5		Asp West, Merishausen	2003	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			E61A2287-7F3F-449C-9E17-E33FC111EBE0	6	Glattfelden, Nadelbändli	nur angesät	2003	681650	267675	3057F460-E560-4EBA-A068-741C5180E19F	2	Glattfelden	Nadelbändeli 2	nur angesät	0		681673	267673								Charlotte Salzmann	1	2007						0	0ADC6951-505B-4620-89C6-7EE2A0453A43	2007	2007-09-17 00:00:00	Ansiedlung: Ansaat		Charlotte Salzmann		1										1677, Merish. Asp West		2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			E61A2287-7F3F-449C-9E17-E33FC111EBE0	6	Glattfelden, Nadelbändli	nur angesät	2003	681650	267675	3057F460-E560-4EBA-A068-741C5180E19F	2	Glattfelden	Nadelbändeli 2	nur angesät	0		681673	267673								Marcel Leuthold	1	2007						0	62CE0BE6-BFEA-4430-A9AB-4CB11E51DBEB	2008	2008-08-08 00:00:00	Ansiedlung: Ansaat		Marcel Leuthold	Orchideenmischung	1	681666/267886 bis 681667/267675		in einer Reihe von 11m							1760/1759	4.7.+5.7.08	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			E61A2287-7F3F-449C-9E17-E33FC111EBE0	6	Glattfelden, Nadelbändli	nur angesät	2003	681650	267675	3057F460-E560-4EBA-A068-741C5180E19F	2	Glattfelden	Nadelbändeli 2	nur angesät	0		681673	267673								Marlene Rüegg	1	2007						0	ac3c2436-f8cd-11e0-bd98-003048cd3590	2011	2011-07-29 00:00:00	Ansiedlung: Ansaat		Marlene Rüegg		1				50cm um eingezäunte Aceras herum				15		1759, Asp E, Glattfelden		2011-10-17 16:38:26	topos	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			E61A2287-7F3F-449C-9E17-E33FC111EBE0	6	Glattfelden, Nadelbändli	nur angesät	2003	681650	267675	D439A542-FB01-40CB-A088-A773F7CFCC17	3	Glattfelden	Retentionsbecken	nur angesät	0		681677	267630								Charlotte Salzmann	1	2007						0	617383E7-1105-4E61-9C0D-20CE58AF46C3	2007	2007-09-17 00:00:00	Ansiedlung: Ansaat		Charlotte Salzmann		1										1677, Merish. Asp West		2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			E61A2287-7F3F-449C-9E17-E33FC111EBE0	6	Glattfelden, Nadelbändli	nur angesät	2003	681650	267675	D439A542-FB01-40CB-A088-A773F7CFCC17	3	Glattfelden	Retentionsbecken	nur angesät	0		681677	267630								Marcel Leuthold	1	2007						0	3E031993-9094-4471-9B31-484E793EC796	2008	2008-08-08 00:00:00	Ansiedlung: Ansaat		Marcel Leuthold	Orchideenmischung	1	681675/267619 bis 681674/267632		in einer Reihe von 13m							1760/1759	4.7.+5.7.08	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			283FC302-115D-423F-9235-41379DA6F62D	7	Glattfelden, Schibenrain	nur angesät		679550	268750	CC24E230-B308-44B8-BAB4-8DF1D9D16844	1	Glattfelden	Schibenrain	nur angesät	0		679550	268750		410				bestehende Magerwiese		Isabelle Flöss	1	2003			Naturschutzgebiet			1	6136D10E-EB4C-42A3-94F1-5E68A0F8C31E	2003	2003-10-15 00:00:00	Ansiedlung: Ansaat		Isabelle Flöss		0								33		Asp West, Merishausen	2003	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			283FC302-115D-423F-9235-41379DA6F62D	7	Glattfelden, Schibenrain	nur angesät		679550	268750	ED2A9F71-4D68-4F30-A5E2-5915EA368041	2	Glattfelden	Schibenrain 2	nur angesät	0		679575	268778								Charlotte Salzmann	1	2007						0	81801EA9-043A-4727-A90E-DD4B80EC8758	2007	2007-09-17 00:00:00	Ansiedlung: Ansaat		Charlotte Salzmann		1										1677, Merish. Asp West		2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			411240B2-9F26-486A-8832-60323FF5F8EF	8	Glattfelden, Zweidler Hard	nur angesät				52C508CB-8B99-44DA-8FEA-38190A84E966	1	Glattfelden	Zweidler Hard	nur angesät	0		678125	268875	100	360				neugestaltete Fläche mit Feucht- und Trockenstandorten und Weihern			1				Naturschutzgebiet			0	053232AB-8B2B-4157-AD82-D82C0D6C57F0	2002	2002-10-01 00:00:00	Ansiedlung: Ansaat				0							139			Jennetal J1	35995	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			411240B2-9F26-486A-8832-60323FF5F8EF	8	Glattfelden, Zweidler Hard	nur angesät				52C508CB-8B99-44DA-8FEA-38190A84E966	1	Glattfelden	Zweidler Hard	nur angesät	0		678125	268875	100	360				neugestaltete Fläche mit Feucht- und Trockenstandorten und Weihern		Isabelle Flöss	1				Naturschutzgebiet			0	A0DDB0A2-9EF2-4E95-AE5F-B2AE96175254	2003	2003-07-11 00:00:00	Ansiedlung: Ansaat		Isabelle Flöss		0										Asp, Nr. 3	2003	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			411240B2-9F26-486A-8832-60323FF5F8EF	8	Glattfelden, Zweidler Hard	nur angesät				52C508CB-8B99-44DA-8FEA-38190A84E966	1	Glattfelden	Zweidler Hard	nur angesät	0		678125	268875	100	360				neugestaltete Fläche mit Feucht- und Trockenstandorten und Weihern		Isabelle Flöss	1				Naturschutzgebiet			0	37C89F35-06C3-45F0-9C34-EEB58FA2C185	2003	2003-10-15 00:00:00	Ansiedlung: Ansaat		Isabelle Flöss		0								15		Asp West, Merishausen	2003	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			9E99ABAB-98B0-48D0-AA03-AC3602F63403	9	Hüntwangen, Muren	nur angesät				595A0006-F07F-45E1-A345-2ECF48FE44A0	1	Hüntwangen	Muren	nur angesät	0		679865	271619								Charlotte Salzmann	1	2007						0	7DFBF584-55AE-4725-96C5-0E60CBDBE660	2007	2007-09-05 00:00:00	Ansiedlung: Ansaat		Charlotte Salzmann		1										1677, Merish. Asp West		2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			9E99ABAB-98B0-48D0-AA03-AC3602F63403	9	Hüntwangen, Muren	nur angesät				595A0006-F07F-45E1-A345-2ECF48FE44A0	1	Hüntwangen	Muren	nur angesät	0		679865	271619								Andreas Keel	1	2007						0	831EA804-A61E-4C74-A5F6-E8930FA82A89	2008	2008-07-25 00:00:00	Ansiedlung: Ansaat		Andreas Keel	Orchideenmischung	1										1760/1759	4.7.+5.7.08	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			60AE405E-9951-4F55-8788-D3C8EBA4C31F	11	Weiach, KG Rüteren	nur angesät		675500	269000	1AF5D911-65C2-44B1-88B6-93EB1BDA7FD0	1	Weiach	KG Rüteren, NW-Ecke	nur angesät	0		675500	269000	150								1							1	ADE0636E-F47D-44A1-9AD7-B1DE751811E9	2002	2002-10-01 00:00:00	Ansiedlung: Ansaat				0							83			Jennetal J1	35995	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			60AE405E-9951-4F55-8788-D3C8EBA4C31F	11	Weiach, KG Rüteren	nur angesät		675500	269000	ABEA1A98-1FDE-4318-93AA-C5B6EDC20A57	2	Weiach	KG Rüteren, NW-Ecke	nur angesät	0		675500	269000	150							Isabelle Flöss	1							0	82989C35-F9C7-41A9-B1E0-6AEBAE4A19D5	2003	2003-11-13 00:00:00	Ansiedlung: Ansaat		Isabelle Flöss		1										Asp	2003	2011-06-28 10:14:20	topos	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			60AE405E-9951-4F55-8788-D3C8EBA4C31F	11	Weiach, KG Rüteren	nur angesät		675500	269000	9087D009-C936-48B4-B63B-E58D257C8251	3	Weiach	KG Rüteren, NW-Ecke	nur angesät	0		675500	269000	150								1							0	37D91523-05CA-47A4-A9F2-01ED5F0DD3B0	2002	2002-10-01 00:00:00	Ansiedlung: Ansaat				0							31			Jennetal J1	35995	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			60AE405E-9951-4F55-8788-D3C8EBA4C31F	11	Weiach, KG Rüteren	nur angesät		675500	269000	2C224C81-495E-47EE-AA2C-9E820F36037D	4	Weiach	KG Rüteren, NW-Ecke	nur angesät	0		675500	269000	150								1							0	ECFFBA49-DF93-468B-8F90-2D5FB11D7738	2002	2002-10-01 00:00:00	Ansiedlung: Ansaat				0										Jennetal J1	35995	2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			60AE405E-9951-4F55-8788-D3C8EBA4C31F	11	Weiach, KG Rüteren	nur angesät		675500	269000	0175DF2B-BE8C-4534-B476-5D3B8B09FB11	5	Weiach	KG Rüteren, NW-Ecke, Fläche A	nur angesät	0		675500	269000								Charlotte Salzmann	1	2007						0	81C7E7FD-EF28-4204-8C4B-CC6EEEDEFD49	2007	2007-09-17 00:00:00	Ansiedlung: Ansaat		Charlotte Salzmann		1										1677, Merish. Asp West		2010-03-27 00:00:00	KarinMarti	
900	Aceras anthropophorum (L.) W. T. Aiton	kein AP			60AE405E-9951-4F55-8788-D3C8EBA4C31F	11	Weiach, KG Rüteren	nur angesät		675500	269000	0175DF2B-BE8C-4534-B476-5D3B8B09FB11	5	Weiach	KG Rüteren, NW-Ecke, Fläche A	nur angesät	0		675500	269000								Marlene Rüegg	1	2007						0	9cdb3f28-f8c7-11e0-bd98-003048cd3590	2011	2011-07-29 00:00:00	Ansiedlung: Ansaat		Marlene Rüegg		1			Rechteck	3m um die umzäunte Fläche				100		1759. Asp E., Glattfelden		2011-10-17 15:55:03	topos	
